OBJET,famille_mat,DIAMETRE,age,score_pred,top_pct,y_reel,renouvele
410115936,Fonte_grise,80.0,44.0,0.027303637564182283,8.0,1,0
410531243,Fonte,100.0,59.0,0.027265625819563866,8.1,1,0
410124878,Fonte_grise,80.0,63.0,0.02725990433245897,8.1,1,0
410942937,Fonte,300.0,55.0,0.027245396841317417,8.1,1,0
410051649,Fonte_grise,100.0,69.0,0.02718661744147539,8.1,1,0
410051772,Fonte_grise,100.0,69.0,0.027115733548998832,8.1,1,0
410802699,Fonte,300.0,54.0,0.02699955478310585,8.2,1,0
410119279,Plastique,32.0,48.0,0.02697297986596823,8.2,1,0
410900040,Acier,200.0,49.0,0.0269608604721725,8.2,1,0
410117990,Acier,100.0,38.0,0.02692416124045849,8.2,1,0
410529129,Plastique,63.0,53.0,0.02683235500007868,8.2,1,0
410903402,Fonte_grise,80.0,113.0,0.026830296870321034,8.2,1,0
410090314,Fonte_grise,80.0,48.0,0.026698964275419713,8.2,1,0
417004119,Plastique,63.0,53.0,0.026698964275419713,8.3,1,0
410087126,Plastique,51.0,52.0,0.02667885310947895,8.3,1,0
410014718,Fonte,100.0,35.0,0.02657655393704772,8.3,1,0
410035671,Fonte,300.0,54.0,0.026363221183419227,8.4,1,0
410124609,Fonte_grise,150.0,37.0,0.026363221183419227,8.4,1,0
410018393,Fonte_grise,80.0,61.0,0.026247042417526244,8.4,1,0
410073195,Fonte,60.0,38.0,0.026135895680636168,8.6,1,0
410102985,Amiante_ciment,100.0,48.0,0.026130378246307373,8.6,1,0
410092149,Fonte,100.0,56.0,0.026122407987713814,8.6,1,0
416000599,Plastique,75.0,6.0,0.02600364778190851,8.6,1,0
410031415,Fonte_grise,300.0,69.0,0.02591923950240016,8.6,1,0
410030309,Fonte_grise,150.0,69.0,0.025845438800752164,8.7,1,0
410832160,Fonte_grise,80.0,48.0,0.025670171715319157,8.8,1,0
410090602,Plastique,36.0,46.0,0.025585849490016698,8.8,1,0
410069618,Fonte,250.0,48.0,0.025509695708751678,8.8,1,0
410924545,Fonte_grise,150.0,69.0,0.025509695708751678,8.8,1,0
410116454,Fonte,60.0,13.0,0.025502088014036417,8.8,1,0
410033653,Fonte_grise,150.0,60.0,0.02542364615947008,8.9,1,0
410955502,Fonte_grise,150.0,69.0,0.02542364615947008,8.9,1,0
410039392,Fonte_grise,100.0,69.0,0.025182518549263476,9.0,1,0
410827727,Fonte_grise,100.0,53.0,0.02509292643517256,9.1,1,0
410121990,Fonte_grise,125.0,73.0,0.025087903067469598,9.1,1,0
410827629,Fonte_grise,80.0,53.0,0.025087903067469598,9.1,1,0
410111783,Plastique,53.0,38.0,0.025087369279935955,9.2,1,0
410822696,Fonte,150.0,1.0,0.02503181090578437,9.2,1,0
410529725,Fonte_grise,100.0,53.0,0.024857068713754416,9.2,1,0
410025161,Fonte_grise,150.0,69.0,0.024846775457262993,9.3,1,0
410125622,Plastique,32.0,41.0,0.024846775457262993,9.3,1,0
410035449,Plastique,51.0,43.0,0.024757183343172073,9.3,1,0
410003863,Fonte_grise,80.0,69.0,0.024757183343172073,9.3,1,0
410111137,Fonte,200.0,44.0,0.024757183343172073,9.3,1,0
410117940,Plastique,25.0,38.0,0.024697669176384808,9.3,1,0
416003401,Fonte,100.0,53.0,0.024575390573590993,9.4,1,0
410531057,Fonte,100.0,59.0,0.02441908847540617,9.5,1,0
410078814,Fonte,100.0,40.0,0.024405146855860947,9.5,1,0
410914890,Fonte_grise,80.0,68.0,0.024400622583925724,9.5,1,0
410032204,Fonte_grise,125.0,88.0,0.02433628272265196,9.5,1,0
410105801,Fonte,100.0,48.0,0.02431053137406707,9.6,1,0
410032352,Plastique,63.0,58.0,0.02423964748159051,9.6,1,0
416002196,Fonte_grise,130.0,38.0,0.024130182154476643,9.7,1,0
410100254,Fonte_grise,150.0,38.0,0.024102920293807985,9.7,1,0
410126125,Fonte,300.0,42.0,0.024069403763860464,9.7,1,0
410128330,Plastique,50.0,38.0,0.023855064995586872,9.8,1,0
410900552,Fonte,150.0,55.0,0.023822878208011388,9.8,1,0
410529466,Fonte_grise,200.0,53.0,0.023822878208011388,9.8,1,0
410030110,Fonte,100.0,48.0,0.023822878208011388,9.8,1,0
410528598,Fonte_grise,200.0,53.0,0.023822878208011388,9.8,1,0
410528326,Fonte_grise,200.0,53.0,0.023822878208011388,9.8,1,0
410507819,Fonte,150.0,51.0,0.023802767042070627,9.8,1,0
412002038,Acier,600.0,53.0,0.023793471790850163,9.8,1,0
410858448,Acier,600.0,53.0,0.023793471790850163,9.8,1,0
410096732,Acier,600.0,53.0,0.023793471790850163,9.8,1,0
410118030,Plastique,50.0,38.0,0.02373770233243704,9.9,1,0
410949749,Acier,60.0,43.0,0.023704927414655685,9.9,1,0
410034140,Fonte_grise,250.0,69.0,0.023647456988692285,9.9,1,0
410117985,Plastique,63.0,38.0,0.02363142352551222,9.9,1,0
410021941,Fonte,150.0,54.0,0.023581750597804783,9.9,1,0
410111357,Plastique,78.0,38.0,0.023557709902524947,9.9,1,0
410042264,Fonte_grise,100.0,69.0,0.023487135116010905,10.0,1,0
410064905,Fonte_grise,100.0,69.0,0.023487135116010905,10.0,1,0
410090604,Plastique,36.0,46.0,0.023487135116010905,10.1,1,0
410113196,Acier,125.0,38.0,0.023480481933802366,10.1,1,0
410859316,Plastique,36.0,60.0,0.023406982608139514,10.1,1,0
410966687,Fonte_grise,250.0,56.0,0.023400844633579256,10.1,1,0
410030938,Fonte_grise,60.0,69.0,0.0232460075058043,10.2,1,0
414502925,Fonte_grise,125.0,50.0,0.0232460075058043,10.2,1,0
410531117,Fonte,100.0,59.0,0.02314377035945654,10.2,1,0
416004099,Plastique,51.0,48.0,0.02306510154157877,10.2,1,0
410077634,Fonte,150.0,53.0,0.023050254676491022,10.2,1,0
410108340,Plastique,51.0,40.0,0.023050254676491022,10.2,1,0
410092979,Plastique,32.0,38.0,0.022902907244861125,10.3,1,0
410808829,Plastique,50.0,23.0,0.022723589232191442,10.3,1,0
410069453,Fonte,150.0,48.0,0.02271451158449054,10.3,1,0
410052989,Fonte,100.0,42.0,0.022657085675746202,10.4,1,0
412002207,Plastique,51.0,47.0,0.022653684346005322,10.4,1,0
410008653,Fonte_grise,80.0,61.0,0.02264833226799965,10.4,1,0
417004045,Fonte_grise,150.0,59.0,0.022577448375523092,10.4,1,0
410512592,Fonte,150.0,42.0,0.022540468070656062,10.5,1,0
416003336,Acier,100.0,38.0,0.022531668096780776,10.5,1,0
410017749,Fonte_grise,250.0,56.0,0.022464273124933244,10.5,1,0
410031158,Fonte_grise,40.0,69.0,0.022183999698609114,10.6,1,0
410067610,Fonte_grise,100.0,42.0,0.021956941951066254,10.7,1,0
410089642,Plastique,51.0,33.0,0.021856960747390984,10.7,1,0
410122727,Plastique,36.0,53.0,0.021720400592312217,10.8,1,0
410529463,Fonte_grise,80.0,53.0,0.021704684011638165,10.8,1,0
410509617,Fonte_grise,300.0,38.0,0.0216989541426301,10.8,1,0
412001698,Plastique,32.0,47.0,0.0216989541426301,10.8,1,0
410070596,Fonte,300.0,37.0,0.02151603754609823,10.9,1,0
410125568,Fonte_grise,80.0,43.0,0.021489192917943,10.9,1,0
410123826,Fonte_grise,150.0,48.0,0.021489192917943,10.9,1,0
410112562,Fonte_grise,80.0,48.0,0.021489192917943,11.0,1,0
415501006,Fonte_grise,80.0,58.0,0.021467076055705546,11.0,1,0
410121268,Fonte_grise,100.0,58.0,0.021371274208649992,11.0,1,0
410964723,Fonte_grise,100.0,69.0,0.02133401148021221,11.0,1,0
410037696,Fonte,300.0,48.0,0.02133401148021221,11.0,1,0
410126707,Fonte_grise,150.0,48.0,0.021248065307736395,11.1,1,0
410518280,Plastique,63.0,47.0,0.021248065307736395,11.1,1,0
410842049,Fonte_grise,100.0,48.0,0.02109288387000561,11.1,1,0
410078673,Fonte,100.0,40.0,0.021047564316540958,11.1,1,0
410113231,Fonte_grise,125.0,28.0,0.020952639728784563,11.2,1,0
410128075,Fonte_grise,135.0,38.0,0.020938569866120815,11.2,1,0
416001000,Fonte_grise,80.0,68.0,0.020806065294891596,11.3,1,0
410833684,Fonte_grise,150.0,69.0,0.020716569386422634,11.3,1,0
410122562,Plastique,51.0,53.0,0.02071182122454047,11.3,1,0
410524401,Fonte_grise,350.0,43.0,0.020631668716669084,11.3,1,0
410530891,Fonte,150.0,59.0,0.020581732410937546,11.4,1,0
410800669,Fonte_grise,200.0,28.0,0.02042971197515726,11.4,1,0
410092366,Fonte,150.0,28.0,0.020283289719372988,11.5,1,0
410099158,Fonte_grise,100.0,43.0,0.02004940006881952,11.6,1,0
410121873,Fonte_grise,80.0,43.0,0.02004940006881952,11.6,1,0
410098032,Fonte,150.0,38.0,0.02003271337598562,11.6,1,0
412001376,Fonte,200.0,36.0,0.01993248434737325,11.6,1,0
414000645,Fonte_grise,100.0,43.0,0.019894218631088735,11.6,1,0
417000114,Plastique,51.0,53.0,0.01985581824555993,11.7,1,0
410032294,Fonte_grise,100.0,69.0,0.019647297356277703,11.8,1,0
410027680,Fonte_grise,100.0,69.0,0.019647297356277703,11.8,1,0
410937024,Fonte_grise,100.0,69.0,0.019647297356277703,11.9,1,0
410024421,Fonte,100.0,49.0,0.01964005595073104,11.9,1,0
410515537,Fonte,250.0,48.0,0.019602748099714518,11.9,1,0
410103824,Fonte,80.0,23.0,0.019567791000008584,11.9,1,0
410021912,Fonte,100.0,44.0,0.019492115918546916,11.9,1,0
410110938,Fonte,60.0,49.0,0.019447566661983728,12.0,1,0
413506364,Fonte_grise,150.0,81.0,0.019437054824084043,12.0,1,0
410100171,Fonte_grise,60.0,58.0,0.01942556519061327,12.0,1,0
410919032,Fonte,100.0,48.0,0.019350215699523686,12.0,1,0
410908983,Fonte_grise,100.0,68.0,0.019350215699523686,12.0,1,0
410106052,Plastique,90.0,47.0,0.0192723223939538,12.0,1,0
410107738,Fonte,200.0,43.0,0.019242621958255768,12.1,1,0
410139956,Plastique,40.0,68.0,0.01923689846880734,12.1,1,0
410033875,Fonte_grise,80.0,56.0,0.01921434048563242,12.1,1,0
410105821,Fonte,60.0,48.0,0.019064538832753896,12.2,1,0
410023009,Fonte_grise,60.0,69.0,0.01903348253108561,12.2,1,0
413506612,Fonte_grise,80.0,56.0,0.018985332176089286,12.2,1,0
410919818,Fonte_grise,125.0,58.0,0.01896061999723315,12.2,1,0
416000778,Fonte,300.0,6.0,0.018917482485994695,12.3,1,0
410036770,Fonte,150.0,41.0,0.018797378707677125,12.3,1,0
410940168,Fonte,125.0,50.0,0.018779351841658354,12.3,1,0
410805830,Fonte_grise,300.0,56.0,0.01874420456588268,12.4,1,0
416002396,Fonte,100.0,53.0,0.018672207649797202,12.4,1,0
410096722,Acier,600.0,53.0,0.018612507078796626,12.4,1,0
410099196,Fonte_grise,150.0,43.0,0.018599359411746265,12.4,1,0
416001302,Fonte_grise,125.0,38.0,0.018569952994585037,12.4,1,0
417003287,Fonte,150.0,59.0,0.018554501654580235,12.5,1,0
414001649,Fonte_grise,150.0,43.0,0.01853822423145175,12.5,1,0
410082958,Fonte_grise,250.0,68.0,0.01853292491286993,12.5,1,0
410532103,Fonte_grise,60.0,48.0,0.01836716737598181,12.6,1,0
410124497,Fonte_grise,150.0,40.0,0.018330109491944312,12.6,1,0
410848152,Fonte,100.0,22.0,0.018241142574697732,12.7,1,0
417002250,Fonte_grise,80.0,58.0,0.018161935918033122,12.7,1,0
410511029,Fonte_grise,400.0,64.0,0.018149095959961413,12.7,1,0
410124174,Acier,60.0,43.0,0.01813027560710907,12.7,1,0
410090603,Plastique,25.0,46.0,0.018061240203678608,12.7,1,0
410852226,Fonte_grise,100.0,48.0,0.017920808307826518,12.8,1,0
414501417,Fonte_grise,100.0,38.0,0.017920251563191415,12.8,1,0
410034171,Fonte_grise,100.0,56.0,0.0178312161937356,12.9,1,0
410126247,Fonte_grise,60.0,48.0,0.01782619282603264,12.9,1,0
410111833,Fonte_grise,100.0,48.0,0.01782619282603264,12.9,1,0
410069486,Plastique,32.0,48.0,0.01779539082199335,12.9,1,0
410070087,Fonte,125.0,38.0,0.01772004133090377,13.0,1,0
410122043,Fonte_grise,150.0,73.0,0.017638622503727674,13.0,1,0
416004002,Fonte_grise,60.0,38.0,0.017494704714044927,13.1,1,0
410108128,Fonte,250.0,48.0,0.017475361935794353,13.1,1,0
410912782,Fonte_grise,150.0,58.0,0.01746835568919778,13.1,1,0
410845864,Fonte_grise,150.0,69.0,0.017459576949477196,13.1,1,0
410528815,Fonte_grise,100.0,53.0,0.017330445628613234,13.2,1,0
410100871,Fonte_grise,100.0,58.0,0.01708905673585832,13.3,1,0
410931553,Fonte,150.0,12.0,0.017019603680819274,13.4,1,0
416002065,Acier,400.0,53.0,0.016998167242854835,13.4,1,0
410022322,Fonte_grise,60.0,113.0,0.016993996035307646,13.4,1,0
410941396,Plastique,51.0,39.0,0.016966227535158397,13.4,1,0
416502089,Acier,93.0,44.0,0.016922351159155368,13.4,1,0
410949748,Acier,60.0,43.0,0.016879525780677796,13.4,1,0
410115907,Plastique,51.0,58.0,0.016717119701206686,13.5,1,0
410051960,Plastique,63.0,69.0,0.016681223548948763,13.5,1,0
410910096,Fonte_grise,60.0,68.0,0.016610968206077815,13.6,1,0
